epoch,train_loss,loss,f1_macro,lr,seconds
1,0.6081543661299206,0.5074182663195663,0.7166967337426144,0.0001,44.996179819107056
2,0.540958318861704,0.5282981209070594,0.6979765358490391,0.0001,25.788249969482422
3,0.4123598366881174,0.5952883431287828,0.6867769284696145,0.0001,26.13372492790222
4,0.2530836762133099,0.7781587534506064,0.6892443897635051,0.0001,25.91425895690918
5,0.1475666832734668,1.1078956262310278,0.6834668154260365,0.0001,25.792729139328003
6,0.10912374315753816,1.1631967083833836,0.6949773841148082,0.0001,25.79512906074524
7,0.08974941076503859,1.1763781638057142,0.6762107603675521,0.0001,25.98078179359436
8,0.07976336536899445,1.5532654378394148,0.6823288016641008,0.0001,26.409143209457397
9,0.06792981874256854,1.3939363659509454,0.6803403339932012,0.0001,26.74409770965576
10,0.07270183861728699,1.5762061427543974,0.6638625003957161,0.0001,26.9181067943573
11,0.06944001492053743,1.3724483845990014,0.6771971350433404,0.0001,27.004549026489258
