epoch,phase,train_loss,val_ap,val_acc,lr,patience_left,is_best
1,1,0.348572,0.941263,0.867750,1.00e-04,5,1
2,1,0.211028,0.945836,0.879750,1.00e-04,5,1
3,1,0.104359,0.934653,0.871000,1.00e-04,4,0
4,1,0.059349,0.927286,0.853250,1.00e-04,3,0
5,1,0.040050,0.944326,0.880750,1.00e-04,2,0
6,2,0.011335,0.951328,0.882750,1.00e-05,5,1
7,2,0.002481,0.951791,0.894500,1.00e-05,5,1
8,2,0.001226,0.950143,0.890250,1.00e-05,4,0
9,2,0.000911,0.952267,0.889000,1.00e-05,5,1
10,2,0.000980,0.952018,0.887750,1.00e-05,4,0
11,2,0.000575,0.950489,0.889000,1.00e-05,3,0
12,2,0.000415,0.951990,0.886000,1.00e-05,2,0
13,2,0.000299,0.953308,0.889750,1.00e-05,5,1
14,2,0.000358,0.952610,0.888500,1.00e-05,4,0
15,2,0.001078,0.951891,0.890250,1.00e-05,3,0
16,2,0.000565,0.950918,0.889500,1.00e-05,2,0
17,2,0.000317,0.951949,0.882000,5.00e-06,1,0
18,2,0.000245,0.952520,0.894000,5.00e-06,0,0
