epoch,phase,train_loss,val_ap,val_acc,lr,patience_left,is_best
1,1,0.479478,0.900897,0.808000,1.00e-04,5,1
2,1,0.299147,0.912835,0.822000,1.00e-04,5,1
3,1,0.151558,0.908377,0.819500,1.00e-04,4,0
4,1,0.089623,0.908750,0.816000,1.00e-04,3,0
5,1,0.054008,0.907610,0.816000,1.00e-04,2,0
6,2,0.017018,0.920179,0.839250,1.00e-05,5,1
7,2,0.004880,0.917712,0.839250,1.00e-05,4,0
8,2,0.001760,0.918783,0.836500,1.00e-05,3,0
9,2,0.001264,0.919485,0.838250,1.00e-05,2,0
10,2,0.001249,0.919255,0.833000,5.00e-06,1,0
11,2,0.000828,0.919756,0.839250,5.00e-06,0,0
