epoch,train_loss,val_ap,val_acc,lr,patience_left,is_best
1,0.149772,0.994886,0.970000,1.00e-04,5,1
2,0.062522,0.991986,0.967667,1.00e-04,4,0
3,0.030800,0.994477,0.968333,1.00e-04,3,0
4,0.023022,0.994987,0.972000,1.00e-04,5,1
5,0.019939,0.996765,0.976667,1.00e-04,5,1
6,0.013251,0.994458,0.977000,1.00e-04,4,0
7,0.012487,0.995671,0.976000,1.00e-04,3,0
8,0.009827,0.995924,0.980000,1.00e-04,2,0
9,0.008397,0.996837,0.978000,5.00e-05,5,1
10,0.005413,0.997099,0.982000,5.00e-05,5,1
11,0.006191,0.996784,0.981667,5.00e-05,4,0
12,0.004691,0.996809,0.981333,5.00e-05,3,0
13,0.003719,0.996523,0.979667,5.00e-05,2,0
14,0.003121,0.996736,0.976667,2.50e-05,1,0
15,0.003690,0.996494,0.978667,2.50e-05,0,0
