epoch,train_loss,val_ap,val_acc,lr,patience_left,is_best
1,0.153918,0.994643,0.970667,1.00e-04,5,1
2,0.066986,0.994786,0.977000,1.00e-04,5,1
3,0.034965,0.995618,0.976667,1.00e-04,5,1
4,0.026091,0.995054,0.972333,1.00e-04,4,0
5,0.022927,0.996010,0.974333,1.00e-04,5,1
6,0.017103,0.995708,0.973667,1.00e-04,4,0
7,0.021712,0.996494,0.976667,1.00e-04,5,1
8,0.011944,0.996398,0.977667,1.00e-04,4,0
9,0.011889,0.996326,0.980667,1.00e-04,3,0
10,0.008886,0.996161,0.975333,1.00e-04,2,0
11,0.009593,0.997244,0.977667,1.00e-04,5,1
12,0.009133,0.996081,0.977667,1.00e-04,4,0
13,0.008873,0.996261,0.975667,1.00e-04,3,0
14,0.007101,0.995963,0.977333,1.00e-04,2,0
15,0.014062,0.995380,0.976667,5.00e-05,1,0
16,0.006518,0.996605,0.978667,5.00e-05,0,0
