epoch,train_loss,val_ap,val_acc,lr,patience_left,is_best
1,0.311220,0.970307,0.898250,1.00e-04,5,1
2,0.164623,0.977910,0.924500,1.00e-04,5,1
3,0.098360,0.979372,0.922250,1.00e-04,5,1
4,0.069626,0.978522,0.927000,1.00e-04,4,0
5,0.043447,0.978421,0.919250,1.00e-04,3,0
6,0.040298,0.979430,0.929750,1.00e-04,5,1
7,0.036640,0.978267,0.910250,5.00e-05,4,0
8,0.023828,0.979831,0.927500,5.00e-05,5,1
9,0.019076,0.982800,0.932750,5.00e-05,5,1
10,0.018114,0.982229,0.928250,5.00e-05,4,0
11,0.016678,0.980130,0.926250,5.00e-05,3,0
12,0.015689,0.981292,0.927500,5.00e-05,2,0
13,0.013971,0.981991,0.930000,2.50e-05,1,0
14,0.011086,0.982864,0.931500,2.50e-05,5,1
15,0.011467,0.982868,0.930500,2.50e-05,5,1
16,0.011138,0.983692,0.931250,2.50e-05,5,1
17,0.010342,0.984035,0.933500,2.50e-05,5,1
18,0.010836,0.982674,0.933500,2.50e-05,4,0
19,0.010286,0.982020,0.930250,2.50e-05,3,0
20,0.007464,0.982178,0.931000,2.50e-05,2,0
21,0.009035,0.983316,0.932500,1.25e-05,1,0
22,0.009268,0.984256,0.936000,1.25e-05,5,1
23,0.007726,0.984172,0.931000,1.25e-05,4,0
24,0.005928,0.983842,0.932250,1.25e-05,3,0
25,0.006807,0.984516,0.934250,1.25e-05,5,1
26,0.004905,0.984281,0.933500,1.25e-05,4,0
27,0.005757,0.984398,0.935250,1.25e-05,3,0
28,0.006625,0.983587,0.932500,1.25e-05,2,0
29,0.007155,0.985119,0.938500,1.25e-05,5,1
30,0.006267,0.984879,0.938000,1.25e-05,4,0
